Job ID,Machine Requirement,Machine Types Allowed,Machine Type Sequence,Operation Time
J01,3,"['Shaping', 'Lathe']","['Shaping', 'Lathe', 'Shaping', 'Shaping', 'Lathe']","[61, 21, 33, 73, 55]"
J02,6,"['Lathe', 'Grinding']","['Lathe', 'Grinding', 'Grinding', 'Lathe', 'Grinding']","[97, 75, 45, 22, 85]"
J03,5,"['Drilling', 'Shaping', 'Grinding']","['Drilling', 'Shaping', 'Grinding', 'Grinding', 'Grinding']","[39, 37, 36, 97, 92]"
J04,2,['Shaping'],"['Shaping', 'Shaping', 'Shaping', 'Shaping', 'Shaping']","[91, 93, 43, 58, 93]"
J05,4,"['Shaping', 'Grinding', 'Milling']","['Shaping', 'Shaping', 'Grinding', 'Milling', 'Grinding']","[49, 31, 47, 48, 79]"
J06,6,"['Lathe', 'Drilling', 'Milling']","['Lathe', 'Drilling', 'Milling', 'Drilling', 'Drilling']","[83, 35, 17, 87, 91]"
J07,8,"['Shaping', 'Milling', 'Lathe', 'Grinding']","['Shaping', 'Shaping', 'Milling', 'Lathe', 'Grinding']","[20, 11, 29, 89, 12]"
J08,2,"['Grinding', 'Lathe']","['Grinding', 'Grinding', 'Lathe', 'Grinding', 'Grinding']","[43, 78, 78, 98, 83]"
J09,6,"['Shaping', 'Milling']","['Shaping', 'Shaping', 'Shaping', 'Milling', 'Shaping']","[96, 98, 79, 76, 91]"
J10,7,"['Milling', 'Lathe', 'Shaping']","['Milling', 'Lathe', 'Milling', 'Shaping', 'Shaping']","[39, 27, 65, 82, 78]"
J11,6,"['Grinding', 'Lathe', 'Drilling']","['Grinding', 'Grinding', 'Grinding', 'Lathe', 'Drilling']","[93, 40, 52, 36, 39]"
J12,5,"['Drilling', 'Shaping']","['Drilling', 'Shaping', 'Drilling', 'Drilling', 'Drilling']","[31, 73, 64, 67, 40]"
J13,10,"['Drilling', 'Milling', 'Shaping']","['Drilling', 'Drilling', 'Milling', 'Shaping', 'Shaping']","[15, 33, 88, 94, 42]"
J14,10,"['Lathe', 'Drilling', 'Milling']","['Lathe', 'Drilling', 'Drilling', 'Milling', 'Milling']","[16, 44, 94, 30, 81]"
J15,9,"['Lathe', 'Milling', 'Shaping']","['Lathe', 'Milling', 'Shaping', 'Shaping', 'Milling']","[41, 69, 99, 40, 35]"
J16,8,"['Lathe', 'Milling', 'Grinding']","['Lathe', 'Milling', 'Grinding', 'Grinding', 'Lathe']","[65, 31, 72, 25, 90]"
J17,3,"['Drilling', 'Grinding', 'Shaping']","['Drilling', 'Grinding', 'Shaping', 'Shaping', 'Grinding']","[95, 64, 84, 100, 77]"
J18,8,"['Shaping', 'Drilling', 'Grinding']","['Shaping', 'Shaping', 'Shaping', 'Drilling', 'Grinding']","[68, 17, 90, 30, 43]"
J19,5,"['Milling', 'Grinding']","['Milling', 'Grinding', 'Grinding', 'Grinding', 'Grinding']","[33, 58, 56, 65, 77]"
J20,10,"['Shaping', 'Milling', 'Grinding']","['Shaping', 'Shaping', 'Milling', 'Grinding', 'Milling']","[94, 86, 37, 99, 92]"
