Machine ID,Machine Type,Operational Time,Maintenance Time,Cool Down Time
M001,Grinding,41,16,13
M002,Grinding,37,18,11
M003,Shaping,43,8,9
M004,Lathe,50,17,5
M005,Milling,46,7,10
M006,Drilling,41,11,8
M007,Shaping,33,18,8
M008,Milling,50,18,7
M009,Lathe,23,14,15
M010,Milling,33,18,11
M011,Lathe,50,11,11
M012,Drilling,29,5,6
M013,Grinding,41,5,11
M014,Milling,37,13,5
M015,Grinding,45,15,10
M016,Milling,21,11,7
M017,Lathe,47,13,9
M018,Shaping,27,19,14
M019,Drilling,26,6,13
M020,Shaping,48,12,9
M021,Milling,50,17,7
M022,Milling,26,18,5
M023,Shaping,23,6,7
M024,Drilling,31,6,13
M025,Shaping,25,14,7
M026,Drilling,45,11,5
M027,Grinding,39,15,12
M028,Shaping,33,6,15
M029,Grinding,46,14,6
M030,Grinding,21,14,10
M031,Shaping,27,20,14
M032,Drilling,44,10,15
M033,Milling,24,15,5
M034,Milling,49,9,15
M035,Drilling,38,12,13
M036,Drilling,22,16,5
M037,Milling,47,18,10
M038,Lathe,41,13,14
M039,Grinding,40,14,5
M040,Milling,33,19,13
M041,Shaping,40,6,11
M042,Lathe,35,7,5
M043,Grinding,31,17,14
M044,Milling,48,11,12
M045,Milling,23,18,7
M046,Grinding,29,16,11
M047,Lathe,31,18,13
M048,Milling,25,11,12
M049,Lathe,44,20,8
M050,Lathe,29,5,11
M051,Shaping,47,18,10
M052,Drilling,23,18,15
M053,Shaping,39,11,10
M054,Milling,37,9,8
M055,Lathe,21,16,15
M056,Shaping,49,9,13
M057,Shaping,47,11,8
M058,Milling,30,15,12
M059,Lathe,34,13,10
M060,Shaping,26,10,8
M061,Lathe,28,19,8
M062,Grinding,44,10,10
M063,Milling,42,15,5
M064,Milling,48,7,11
M065,Lathe,38,12,10
M066,Milling,47,15,7
M067,Grinding,44,12,15
M068,Drilling,38,6,6
M069,Drilling,21,8,8
M070,Grinding,41,20,9
M071,Shaping,47,18,15
M072,Grinding,41,13,15
M073,Drilling,32,7,9
M074,Shaping,40,19,13
M075,Drilling,42,16,12
M076,Milling,32,20,8
M077,Drilling,25,16,12
M078,Lathe,25,6,10
M079,Lathe,34,5,13
M080,Grinding,46,17,14
