Machine ID,Machine Type,Operational Time,Maintenance Time,Cool Down Time
M001,Milling,37,8,12
M002,Grinding,20,13,11
M003,Grinding,37,19,12
M004,Grinding,22,6,8
M005,Drilling,45,6,9
M006,Milling,23,16,8
M007,Drilling,35,11,15
M008,Grinding,47,20,8
M009,Lathe,35,17,6
M010,Drilling,42,11,13
M011,Grinding,41,11,10
M012,Lathe,33,18,11
M013,Drilling,33,8,13
M014,Drilling,23,8,13
M015,Drilling,22,15,10
M016,Drilling,42,8,5
M017,Lathe,46,17,5
M018,Drilling,50,8,14
M019,Milling,26,5,9
M020,Shaping,30,18,6
M021,Shaping,40,20,7
M022,Drilling,27,7,12
M023,Shaping,38,10,5
M024,Grinding,46,5,13
M025,Shaping,39,13,9
M026,Lathe,47,16,7
M027,Drilling,26,11,6
M028,Shaping,23,8,11
M029,Grinding,35,20,7
M030,Milling,38,20,5
M031,Lathe,40,16,15
M032,Lathe,22,6,11
M033,Grinding,30,6,7
M034,Milling,21,11,13
M035,Milling,37,7,5
M036,Shaping,38,9,10
M037,Grinding,27,12,7
M038,Drilling,29,7,15
M039,Drilling,36,16,12
M040,Grinding,30,6,5
M041,Shaping,25,18,15
M042,Grinding,26,12,14
M043,Grinding,28,9,8
M044,Shaping,34,18,7
M045,Grinding,41,12,14
M046,Drilling,30,13,12
M047,Lathe,26,5,13
M048,Milling,37,14,5
M049,Shaping,45,16,14
M050,Milling,39,9,9
M051,Shaping,43,20,8
M052,Drilling,21,14,14
M053,Lathe,35,8,5
M054,Drilling,23,7,15
M055,Shaping,34,8,10
M056,Grinding,32,15,13
M057,Milling,22,15,9
M058,Lathe,32,16,11
M059,Grinding,49,13,13
M060,Lathe,49,19,11
M061,Shaping,20,5,6
M062,Drilling,49,17,15
M063,Drilling,35,16,9
M064,Drilling,21,13,15
M065,Drilling,29,7,8
M066,Drilling,42,6,13
M067,Lathe,43,19,7
M068,Milling,36,16,15
M069,Lathe,44,10,11
M070,Lathe,38,20,10
M071,Lathe,41,18,6
M072,Milling,35,18,15
M073,Grinding,43,5,7
M074,Drilling,34,5,10
M075,Lathe,39,10,13
M076,Milling,30,15,11
M077,Shaping,41,5,15
M078,Lathe,25,15,8
M079,Shaping,31,14,7
M080,Milling,49,16,11
M081,Drilling,27,8,12
M082,Lathe,48,19,13
M083,Grinding,35,17,10
M084,Milling,30,18,12
M085,Shaping,44,13,5
M086,Drilling,42,10,7
M087,Drilling,43,11,13
M088,Milling,47,8,7
M089,Shaping,30,18,15
M090,Milling,38,15,14
M091,Grinding,50,9,14
M092,Drilling,27,8,15
M093,Lathe,45,18,15
M094,Shaping,32,18,5
M095,Milling,29,7,5
M096,Shaping,42,16,15
M097,Shaping,50,19,14
M098,Drilling,43,15,10
M099,Grinding,44,20,6
M100,Milling,29,8,5
M101,Grinding,41,20,8
M102,Milling,20,6,11
M103,Lathe,24,6,5
M104,Lathe,25,12,6
M105,Drilling,30,7,6
M106,Shaping,36,15,13
M107,Grinding,31,6,15
M108,Lathe,48,14,11
M109,Drilling,28,19,10
M110,Milling,23,16,10
M111,Milling,32,20,6
M112,Lathe,31,12,12
M113,Lathe,34,14,12
M114,Drilling,46,13,9
M115,Grinding,34,6,14
M116,Milling,49,12,12
M117,Drilling,24,19,12
M118,Lathe,28,13,8
M119,Milling,47,11,12
M120,Drilling,36,17,7
M121,Shaping,27,15,9
M122,Shaping,47,16,12
M123,Drilling,30,12,8
M124,Lathe,38,19,11
M125,Shaping,24,5,8
M126,Drilling,26,5,13
M127,Milling,29,8,10
M128,Milling,44,7,6
M129,Shaping,25,13,13
