Machine ID,Machine Type,Operational Time,Maintenance Time,Cool Down Time
M001,Shaping,50,14,15
M002,Drilling,49,6,13
M003,Drilling,42,12,8
M004,Lathe,24,17,14
M005,Shaping,30,12,5
M006,Drilling,25,20,7
M007,Milling,28,17,15
M008,Lathe,21,10,12
M009,Drilling,20,6,10
M010,Drilling,44,14,12
M011,Milling,27,20,10
M012,Milling,33,5,10
M013,Milling,22,11,12
M014,Grinding,46,17,14
M015,Shaping,46,8,7
M016,Lathe,26,11,6
M017,Shaping,24,16,5
M018,Shaping,23,10,7
M019,Grinding,33,14,11
M020,Lathe,20,11,10
M021,Grinding,36,11,13
M022,Milling,48,7,14
M023,Grinding,49,15,10
M024,Lathe,38,10,13
M025,Grinding,26,6,8
M026,Shaping,23,16,15
M027,Drilling,37,20,10
M028,Shaping,49,14,11
M029,Grinding,39,15,8
M030,Milling,45,15,7
M031,Milling,47,6,6
M032,Drilling,20,11,11
M033,Drilling,50,15,13
M034,Milling,40,5,11
M035,Milling,30,5,9
M036,Milling,42,10,15
M037,Milling,20,8,10
M038,Grinding,31,19,8
M039,Milling,28,9,7
M040,Shaping,50,6,10
M041,Grinding,49,12,11
M042,Shaping,44,12,15
M043,Lathe,30,20,6
M044,Milling,26,6,11
M045,Drilling,20,16,14
M046,Grinding,32,18,15
M047,Milling,32,17,8
M048,Milling,29,20,10
M049,Milling,20,14,10
M050,Milling,26,13,9
M051,Lathe,45,9,12
M052,Shaping,27,19,6
M053,Shaping,45,8,5
M054,Lathe,48,12,8
M055,Lathe,34,10,15
M056,Lathe,50,13,7
M057,Drilling,43,9,15
M058,Drilling,29,14,12
M059,Drilling,34,5,10
M060,Milling,46,19,5
M061,Shaping,34,8,12
M062,Drilling,33,13,14
M063,Drilling,49,12,12
M064,Grinding,39,9,8
M065,Lathe,21,5,14
M066,Drilling,27,16,6
M067,Shaping,27,13,11
M068,Drilling,31,5,7
M069,Grinding,21,15,15
M070,Grinding,45,17,5
M071,Grinding,21,14,13
M072,Grinding,32,12,7
M073,Grinding,20,15,11
M074,Shaping,27,20,11
M075,Grinding,20,6,10
M076,Drilling,41,5,10
M077,Drilling,42,9,5
M078,Grinding,31,5,9
M079,Drilling,32,15,7
M080,Drilling,20,6,9
M081,Shaping,41,9,15
M082,Drilling,41,16,11
M083,Shaping,42,6,11
M084,Shaping,38,10,13
M085,Shaping,38,16,15
M086,Grinding,35,11,9
M087,Drilling,34,6,10
M088,Drilling,34,16,13
M089,Drilling,44,9,5
M090,Milling,34,8,14
M091,Milling,38,17,14
M092,Grinding,36,17,9
M093,Drilling,20,7,13
M094,Lathe,47,17,13
M095,Milling,36,13,6
M096,Milling,27,15,8
M097,Grinding,37,14,7
M098,Milling,46,17,5
M099,Grinding,46,10,7
M100,Milling,36,10,10
M101,Drilling,45,6,12
M102,Lathe,26,17,12
M103,Grinding,40,15,15
M104,Lathe,39,9,11
M105,Drilling,37,7,9
M106,Grinding,28,8,8
M107,Milling,41,16,7
M108,Drilling,26,14,11
M109,Lathe,30,18,13
M110,Grinding,24,12,13
M111,Lathe,34,20,10
M112,Milling,28,15,14
M113,Milling,44,20,15
M114,Drilling,27,9,8
M115,Grinding,50,19,14
M116,Shaping,48,18,15
M117,Grinding,40,8,15
M118,Milling,50,10,15
M119,Drilling,31,16,13
M120,Drilling,38,11,9
M121,Milling,41,20,6
M122,Shaping,30,13,15
M123,Lathe,32,14,15
M124,Grinding,40,15,11
M125,Milling,39,20,5
M126,Lathe,37,15,15
M127,Lathe,39,18,6
M128,Shaping,42,6,12
M129,Milling,28,15,13
M130,Drilling,50,8,5
M131,Shaping,34,8,6
M132,Grinding,42,11,10
M133,Milling,22,15,11
M134,Grinding,30,20,11
M135,Milling,44,10,9
M136,Shaping,50,20,11
M137,Drilling,41,17,10
M138,Grinding,45,15,7
M139,Milling,25,5,7
M140,Shaping,47,13,11
M141,Drilling,50,10,13
M142,Grinding,23,5,11
M143,Lathe,47,8,7
M144,Drilling,36,7,5
M145,Drilling,31,18,8
M146,Grinding,20,8,11
M147,Shaping,26,18,8
M148,Lathe,50,10,12
M149,Lathe,39,17,14
M150,Milling,24,10,6
M151,Drilling,49,12,14
M152,Lathe,41,13,5
M153,Shaping,33,17,11
M154,Shaping,40,19,11
M155,Grinding,29,15,12
M156,Lathe,36,11,10
M157,Shaping,33,18,10
M158,Lathe,49,5,15
M159,Shaping,24,16,14
M160,Grinding,42,10,14
M161,Lathe,50,10,11
M162,Shaping,24,20,12
M163,Milling,36,18,12
M164,Milling,46,13,14
M165,Drilling,46,6,8
M166,Lathe,48,13,14
M167,Shaping,44,17,12
M168,Milling,36,8,13
M169,Shaping,36,20,15
M170,Drilling,50,11,5
M171,Drilling,30,8,14
M172,Drilling,20,6,6
M173,Drilling,27,5,11
M174,Shaping,48,14,5
M175,Lathe,22,10,10
M176,Grinding,25,20,14
M177,Shaping,21,6,7
M178,Shaping,23,7,8
M179,Shaping,42,18,15
M180,Lathe,25,17,5
M181,Shaping,37,20,11
M182,Lathe,30,9,12
M183,Milling,32,8,11
M184,Drilling,50,11,7
M185,Milling,42,17,5
M186,Drilling,48,7,6
M187,Milling,47,12,8
M188,Milling,27,8,9
M189,Drilling,30,17,12
M190,Lathe,34,17,10
M191,Drilling,23,7,10
M192,Drilling,37,20,11
M193,Lathe,23,12,8
M194,Milling,27,20,9
M195,Drilling,28,17,13
M196,Drilling,44,8,12
M197,Grinding,38,10,6
M198,Shaping,20,5,14
M199,Milling,38,20,10
M200,Grinding,21,11,7
