Machine ID,Machine Type,Operational Time,Maintenance Time,Cool Down Time
M001,Lathe,30,1,1
M002,Lathe,12,5,16
M003,Lathe,24,14,16
M004,Lathe,20,6,16
M005,Lathe,18,12,11
M006,Lathe,16,12,15
M007,Lathe,16,9,10
M008,Lathe,40,17,10
M009,Lathe,30,7,16
M010,Lathe,17,13,22
M011,Grinding,30,10,1
M002,Grinding,30,2,1
M013,Grinding,24,14,16
M014,Grinding,20,6,16
M015,Grinding,18,12,11
M016,Grinding,16,12,15
M017,Grinding,16,9,10
M018,Grinding,40,17,10
M019,Grinding,30,7,16
M020,Grinding,17,13,22
M021,Milling,30,1,1
M022,Milling,12,5,16
M023,Milling,24,14,16
M024,Milling,20,6,16
M025,Milling,18,12,11
M026,Milling,16,12,15
M027,Milling,16,9,10
M028,Milling,40,17,10
M029,Milling,30,7,16
M030,Milling,17,13,22
M031,Shaping,30,1,1
M032,Shaping,12,5,16
M033,Shaping,24,14,16
M034,Shaping,20,6,16
M035,Shaping,18,12,11
M036,Shaping,16,12,15
M037,Shaping,16,9,10
M038,Shaping,40,17,10
M039,Shaping,30,7,16
M040,Shaping,17,13,22
M041,Drilling,30,1,1
M042,Drilling,12,5,16
M043,Drilling,24,14,16
M044,Drilling,20,6,16
M045,Drilling,18,12,11
M046,Drilling,16,12,15
M047,Drilling,16,9,10
M048,Drilling,40,17,10
M049,Drilling,30,7,16
M050,Drilling,17,13,22
M051,Drilling,12,5,16
M052,Drilling,24,14,16
M053,Drilling,20,6,16
M054,Drilling,18,12,11
M055,Drilling,16,12,15
M056,Drilling,16,9,10
M057,Drilling,40,17,10
M058,Drilling,30,7,16
M059,Drilling,17,13,22
M060,Lathe,12,5,16
M061,Lathe,24,14,16
M062,Lathe,20,6,16
M063,Lathe,18,12,11
M064,Lathe,16,12,15
M065,Lathe,16,9,10
M066,Lathe,40,17,10
M067,Lathe,30,7,16
M068,Lathe,17,13,22
M069,Grinding,30,10,1
M070,Grinding,24,14,16
M071,Grinding,20,6,16
M072,Grinding,18,12,11
M073,Grinding,16,12,15
M074,Grinding,16,9,10
M075,Grinding,40,17,10
M076,Grinding,30,7,16
M077,Grinding,17,13,22
M078,Milling,12,5,16
M079,Milling,24,14,16
